name,lon,lat,MgO,Al2O3,SiO2,CaO,TiO2,FeO,K,Th,U,MgO sigma,Al2O3 sigma,SiO2 sigma,CaO sigma,TiO2 sigma,FeO sigma,K sigma,Th sigma,U sigma
A-881757,,,,,,,0.024399999999999998,0.2255,,0.44,,,,,,0.06999999999999999,0.14387494569938158,,0.31622776601683794,
ALHA81005,,,,,,,0.003,0.055,,0.3,,,,,,0.02,0.0282842712474619,,0.2449489742783178,
Calcalong Creek,,,,,,,0.0079,0.09519999999999999,,3.92,,,,,,0.03162277660168379,0.10488088481701516,,0.6557438524302001,
DaG 400,,,,,,,0.0018,0.036699999999999997,,0.23,,,,,,0.01,0.03162277660168379,,0.282842712474619,
Dho 287,,,,,,,0.0264,0.20379999999999998,,0.9,,,,,,0.0469041575982343,0.14212670403551894,,0.458257569495584,
Dho 287 regolith breccia,,,,,,,0.0248,0.1895,,,,,,,,0.11532562594670796,0.21189620100417092,,,
Dho 925,,,,,,,0.0031,0.0809,,0.94,,,,,,0.02449489742783178,0.09797958971132711,,0.1,
Dho 961,,,,,,,0.0063,0.1114,,2.86,,,,,,0.03605551275463989,0.10295630140987,,0.812403840463596,
Kalahari 008,,,,,,,0.004,0.0487,,0.18,,,,,,0.04,0.052915026221291815,,0.1,
Kalahari 009,,,,,,,0.0026,0.1643,,0.2,,,,,,0.022360679774997897,0.12489995996796797,,0.22360679774997896,
LAP 02205,,,,,,,0.0329,0.22030000000000002,,2.1,,,,,,0.05830951894845301,0.11958260743101398,,0.469041575982343,
LAP 02224,,,,,,,0.030299999999999997,0.2228,,2.08,,,,,,0.052915026221291815,0.07937253933193772,,0.458257569495584,
LAP 02436,,,,,,,0.028900000000000002,0.21899999999999997,,1.76,,,,,,0.04795831523312719,0.0888819441731559,,0.5099019513592785,
MET 01210,,,,,,,0.0148,0.1525,,0.86,,,,,,0.09486832980505139,0.16703293088490065,,0.4472135954999579,
MIL 05035,,,,,,,0.011699999999999999,0.21350000000000002,,0.28,,,,,,0.061644140029689765,0.06782329983125268,,0.2645751311064591,
NEA 003,,,,,,,0.0134,0.2183,,0.43,,,,,,0.1705872210923198,0.12124355652982141,,1.0908712114635715,
"NWA 4472,4485",,,,,,,0.0128,0.0926,,6.99,,,,,,0.05099019513592785,0.03,,0.282842712474619,
NWA 482,,,,,,,0.0016,0.035699999999999996,,0.24,,,,,,0.017320508075688773,0.03162277660168379,,0.1,
NWA 4898,,,,,,,0.0239,0.1727,,0.44,,,,,,0.04330127018922193,0.03162277660168379,,0.31622776601683794,
NWA 4932,,,,,,,0.0031,0.0855,,5,,,,,,0.026457513110645908,0.08831760866327847,,0.34641016151377546,
NWA 773,,,,,,,0.0062,0.1967,,1.63,,,,,,0.055677643628300216,0.10099504938362078,,0.6708203932499369,
SaU 449,,,,,,,0.0031,0.0786,,0.87,,,,,,0.02449489742783178,0.08485281374238571,,0.4472135954999579,
Y-793169,,,,,,,0.0194,0.2229,,0.71,,,,,,0.0608276253029822,0.12922847983320085,,0.2,
Y-82192,,,,,,,0.0027,0.058899999999999994,,0.2,,,,,,0.04358898943540673,0.059160797830996155,,0.17320508075688773,
Y-86032,,,,,,,0.0016,0.0433,,0.2,,,,,,0.0282842712474619,0.059160797830996155,,0.17320508075688773,
